"chimp_id","year","network_sex","behavior","network_type","bt","ec","deg","trans","sex","mother_id","father_id","dobc","dfs","dls","age_mid_year","avg_rank","rank_class","days_cycling","days_obs","prop_cyc"
"RD",2010,"female","total_grooming","undirected",0,0,1,0,"F",NA,NA,1995-10-16,2008-10-12,2017-01-13,14.7077344284736,0.204393002028419,"lo",71,152,0.467105263157895
"TG",2010,"female","total_grooming","undirected",9,1,4,0.5,"F",NA,NA,1980-05-17,1993-05-14,NA,30.1218343600274,0.842509545064384,"hi",0,397,0
"UM",2010,"female","total_grooming","undirected",0,0,0,0,"F",NA,NA,1982-12-31,1995-12-28,NA,27.4989733059548,0.5976632953,"med",52,136,0.382352941176471
"WA",2010,"female","total_grooming","undirected",1,0,2,0,"F",NA,NA,1991-11-29,2004-11-25,NA,18.5872689938398,0.0583840816082192,"lo",14,115,0.121739130434783
"WL",2010,"female","total_grooming","undirected",0,0.901332646969279,3,1,"F",NA,NA,1992-10-27,2005-10-24,NA,17.6755646817248,0.741063730778082,"hi",3,456,0.00657894736842105
"AL",2011,"female","total_grooming","undirected",0,0.192434866146123,1,0,"F",NA,NA,1981-04-24,1994-04-21,NA,30.1848049281314,0.685827186216438,"hi",0,161,0
"BL",2011,"female","total_grooming","undirected",0,8.21460110433649e-17,0,0,"F",NA,NA,1960-07-02,1993-05-24,2016-06-04,50.9952087611225,0.610660343887671,"med",0,121,0
"LN",2011,"female","total_grooming","undirected",1,2.5565276402046e-17,2,0,"F",NA,"Tyner (Ngogo)",1995-08-17,2008-08-13,NA,15.8713210130048,0.156374502143426,"lo",84,152,0.552631578947368
"LR",2011,"female","total_grooming","undirected",19,1,3,0,"F","LP",NA,1989-05-15,1989-06-16,2013-05-25,22.1273100616016,0.923287671208219,"hi",0,214,0
"ML",2011,"female","total_grooming","undirected",0,8.21460110433649e-17,0,0,"F",NA,NA,1996-01-18,2009-01-14,NA,15.4496919917864,0.423393045693151,"med",38,201,0.189054726368159
"MU",2011,"female","total_grooming","undirected",0,0,1,0,"F",NA,NA,1970-07-02,1990-02-02,2014-04-29,40.9965776865161,0.325974710490411,"lo",0,149,0
"OT",2011,"female","total_grooming","undirected",12,0.665921791460069,2,0,"F","OU","ST",1998-02-13,1998-02-13,NA,13.3771389459274,0.225079030750685,"lo",42,182,0.230769230769231
"OU",2011,"female","total_grooming","undirected",7,0.406420654632711,2,0,"F",NA,NA,1979-12-14,1992-12-10,2017-07-21,31.5455167693361,1,"hi",18,194,0.0927835051546392
"PO",2011,"female","total_grooming","undirected",0,8.21460110433649e-17,0,0,"F",NA,NA,1998-03-04,2011-03-01,NA,13.3251197809719,0,"lo",4,39,0.102564102564103
"QT",2011,"female","total_grooming","undirected",7,0.593579345367289,2,0,"F",NA,NA,1992-06-20,2005-06-17,NA,19.0280629705681,0.398577450334247,"med",0,189,0
"RD",2011,"female","total_grooming","undirected",0,0,1,0,"F",NA,NA,1995-10-16,2008-10-12,2017-01-13,15.7070499657769,0.0939409906,"lo",19,87,0.218390804597701
"TG",2011,"female","total_grooming","undirected",0,0.473486925313945,1,0,"F",NA,NA,1980-05-17,1993-05-14,NA,31.1211498973306,0.846575342306849,"hi",8,173,0.046242774566474
"UM",2011,"female","total_grooming","undirected",17,0.97258201947905,3,0,"F",NA,NA,1982-12-31,1995-12-28,NA,28.498288843258,0.582946961312329,"med",0,88,0
"WA",2011,"female","total_grooming","undirected",0,0.460504870018763,1,0,"F",NA,NA,1991-11-29,2004-11-25,NA,19.5865845311431,0.0012644889369863,"lo",44,130,0.338461538461538
"WL",2011,"female","total_grooming","undirected",0,0.281052059167822,1,0,"F",NA,NA,1992-10-27,2005-10-24,NA,18.6748802190281,0.743888303271233,"hi",0,180,0
"AL",2012,"female","total_grooming","undirected",0,3.16002781607568e-17,0,0,"F",NA,NA,1981-04-24,1994-04-21,NA,31.1868583162218,0.658725154625683,"med",0,120,0
"BL",2012,"female","total_grooming","undirected",0,3.16002781607568e-17,0,0,"F",NA,NA,1960-07-02,1993-05-24,2016-06-04,51.9972621492129,0.682744850461749,"hi",0,89,0
"LN",2012,"female","total_grooming","undirected",0,0.21808987173402,1,0,"F",NA,"Tyner (Ngogo)",1995-08-17,2008-08-13,NA,16.8733744010951,0.166636642071038,"lo",27,151,0.178807947019868
"LR",2012,"female","total_grooming","undirected",6,0.875626137744821,4,0.5,"F","LP",NA,1989-05-15,1989-06-16,2013-05-25,23.129363449692,0.854710862762295,"hi",0,188,0
"ML",2012,"female","total_grooming","undirected",16.6666666666667,0.792179739962339,4,0.333333333333333,"F",NA,NA,1996-01-18,2009-01-14,NA,16.4517453798768,0.414640005218579,"med",0,134,0
"MU",2012,"female","total_grooming","undirected",0,3.16002781607568e-17,0,0,"F",NA,NA,1970-07-02,1990-02-02,2014-04-29,41.9986310746064,0.341470005404372,"med",0,49,0
"NP",2012,"female","total_grooming","undirected",11.6666666666667,1,5,0.4,"F","NL","LK",2000-02-09,2000-02-11,NA,12.3915126625599,0,"lo",0,71,0
"OT",2012,"female","total_grooming","undirected",9,0.232950272563492,2,0,"F","OU","ST",1998-02-13,1998-02-13,NA,14.3791923340178,0.268300006273224,"lo",0,138,0
"OU",2012,"female","total_grooming","undirected",0,0.0634240194597319,1,0,"F",NA,NA,1979-12-14,1992-12-10,2017-07-21,32.5475701574264,1,"hi",0,134,0
"PO",2012,"female","total_grooming","undirected",0,3.16002781607568e-17,0,0,"F",NA,NA,1998-03-04,2011-03-01,NA,14.3271731690623,0.184857142748,"lo",11,91,0.120879120879121
"QT",2012,"female","total_grooming","undirected",12.6666666666667,0.931809993743601,5,0.3,"F",NA,NA,1992-06-20,2005-06-17,NA,20.0301163586585,0.487810004349727,"med",0,134,0
"RD",2012,"female","total_grooming","undirected",11,0.801022948348969,4,0.333333333333333,"F",NA,NA,1995-10-16,2008-10-12,2017-01-13,16.7091033538672,0.0260763825273224,"lo",0,85,0
"TG",2012,"female","total_grooming","undirected",0,0.492100151308043,2,1,"F",NA,NA,1980-05-17,1993-05-14,NA,32.1232032854209,0.925779139161202,"hi",0,149,0
"UM",2012,"female","total_grooming","undirected",0,3.16002781607568e-17,0,0,"F",NA,NA,1982-12-31,1995-12-28,NA,29.5003422313484,0.560980003163934,"med",0,45,0
"WA",2012,"female","total_grooming","undirected",0,0.272264199400948,1,0,"F",NA,NA,1991-11-29,2004-11-25,NA,20.5886379192334,0.0470936166038251,"lo",0,44,0
"WL",2012,"female","total_grooming","undirected",0,0.253698501940404,1,0,"F",NA,NA,1992-10-27,2005-10-24,NA,19.6769336071184,0.780490001923497,"hi",0,122,0
"AL",2013,"female","total_grooming","undirected",0,0,0,0,"F",NA,NA,1981-04-24,1994-04-21,NA,32.186173853525,0.686105675032877,"med",15,137,0.109489051094891
"BL",2013,"female","total_grooming","undirected",0,0,0,0,"F",NA,NA,1960-07-02,1993-05-24,2016-06-04,52.9965776865161,0.758277886550685,"hi",0,143,0
"LN",2013,"female","total_grooming","undirected",1,0.685492667445492,2,0,"F",NA,"Tyner (Ngogo)",1995-08-17,2008-08-13,NA,17.8726899383984,0.186379647632877,"lo",0,202,0
"ML",2013,"female","total_grooming","undirected",3,0.720800867293239,2,0,"F",NA,NA,1996-01-18,2009-01-14,NA,17.45106091718,0.502426614465753,"med",0,200,0
"MU",2013,"female","total_grooming","undirected",0,0,0,0,"F",NA,NA,1970-07-02,1990-02-02,2014-04-29,42.9979466119097,0.400547945408219,"med",0,118,0
"NP",2013,"female","total_grooming","undirected",21,1,3,0,"F","NL","LK",2000-02-09,2000-02-11,NA,13.3908281998631,0,"lo",0,183,0
"OT",2013,"female","total_grooming","undirected",23,0.735431694011554,3,0,"F","OU","ST",1998-02-13,1998-02-13,NA,15.378507871321,0.294520548175342,"lo",0,178,0
"OU",2013,"female","total_grooming","undirected",0,0.314507332554508,1,0,"F",NA,NA,1979-12-14,1992-12-10,2017-07-21,33.5468856947296,1,"hi",16,168,0.0952380952380952
"PO",2013,"female","total_grooming","undirected",11,0.882128481149105,3,0,"F",NA,NA,1998-03-04,2011-03-01,NA,15.3264887063655,0.292407044865753,"lo",119,189,0.62962962962963
"QT",2013,"female","total_grooming","undirected",0,0.0906901575534774,1,0,"F",NA,NA,1992-06-20,2005-06-17,NA,21.0294318959617,0.516712328665753,"med",12,168,0.0714285714285714
"RD",2013,"female","total_grooming","undirected",0,0.377242207312602,1,0,"F",NA,NA,1995-10-16,2008-10-12,2017-01-13,17.7084188911704,0.0629745593150685,"lo",21,125,0.168
"TG",2013,"female","total_grooming","undirected",14,0.405197490107986,2,0,"F",NA,NA,1980-05-17,1993-05-14,NA,33.1225188227242,0.928610567936986,"hi",0,215,0
"UM",2013,"female","total_grooming","undirected",0,0,1,0,"F",NA,NA,1982-12-31,1995-12-28,NA,30.4996577686516,0.614716242580822,"med",0,65,0
"WA",2013,"female","total_grooming","undirected",0,3.91404284068576e-18,1,0,"F",NA,NA,1991-11-29,2004-11-25,NA,21.5879534565366,0.0956164383890411,"lo",0,148,0
"WL",2013,"female","total_grooming","undirected",8,0.212066331357058,2,0,"F",NA,NA,1992-10-27,2005-10-24,NA,20.6762491444216,0.828884540142466,"hi",7,187,0.0374331550802139
"AL",2014,"female","total_grooming","undirected",0,1.15881528994489e-17,0,0,"F",NA,NA,1981-04-24,1994-04-21,NA,33.1854893908282,0.639409904860274,"med",0,127,0
"BL",2014,"female","total_grooming","undirected",0,1.15881528994489e-17,0,0,"F",NA,NA,1960-07-02,1993-05-24,2016-06-04,53.9958932238193,0.774604847145205,"hi",0,124,0
"LN",2014,"female","total_grooming","undirected",0.5,0.573045504952705,2,0,"F",NA,"Tyner (Ngogo)",1995-08-17,2008-08-13,NA,18.8720054757016,0.225395152854795,"lo",0,173,0
"ML",2014,"female","total_grooming","undirected",0,0.724932989557025,2,1,"F",NA,NA,1996-01-18,2009-01-14,NA,18.4503764544832,0.545626975356164,"med",0,176,0
"NP",2014,"female","total_grooming","undirected",5.5,1,4,0.166666666666667,"F","NL","LK",2000-02-09,2000-02-11,NA,14.3901437371663,0,"lo",9,172,0.0523255813953488
"OT",2014,"female","total_grooming","undirected",0,6.79204108161843e-17,1,0,"F","OU","ST",1998-02-13,1998-02-13,NA,16.3778234086242,0.3756585882,"med",0,133,0
"OU",2014,"female","total_grooming","undirected",0,5.13898035267916e-17,1,0,"F",NA,NA,1979-12-14,1992-12-10,2017-07-21,34.5462012320329,1,"hi",0,136,0
"PO",2014,"female","total_grooming","undirected",1,0.605233431401822,2,0,"F",NA,NA,1998-03-04,2011-03-01,NA,16.3258042436687,0.300526870690411,"lo",15,107,0.14018691588785
"QT",2014,"female","total_grooming","undirected",0,5.43002487534435e-17,1,0,"F",NA,NA,1992-06-20,2005-06-17,NA,22.0287474332649,0.477660695736986,"med",14,163,0.0858895705521472
"RD",2014,"female","total_grooming","undirected",0,0.384752653051838,1,0,"F",NA,NA,1995-10-16,2008-10-12,2017-01-13,18.7077344284736,0.075131717509589,"lo",17,66,0.257575757575758
"TG",2014,"female","total_grooming","undirected",0,8.66218253923979e-17,1,0,"F",NA,NA,1980-05-17,1993-05-14,NA,34.1218343600274,0.924868282490411,"hi",1,189,0.00529100529100529
"UM",2014,"female","total_grooming","undirected",0,1.15881528994489e-17,0,0,"F",NA,NA,1982-12-31,1995-12-28,NA,31.4989733059548,0.688514225265753,"hi",6,64,0.09375
"WA",2014,"female","total_grooming","undirected",2,0.884153322418687,3,0.333333333333333,"F",NA,NA,1991-11-29,2004-11-25,NA,22.5872689938398,0.150263435345205,"lo",5,177,0.0282485875706215
"WL",2014,"female","total_grooming","undirected",0,1.15881528994489e-17,0,0,"F",NA,NA,1992-10-27,2005-10-24,NA,21.6755646817248,0.849736564654795,"hi",20,141,0.141843971631206
"AL",2015,"female","total_grooming","undirected",0,4.80740671595891e-17,0,0,"F",NA,NA,1981-04-24,1994-04-21,NA,34.1848049281314,0.640964799978082,"hi",46,250,0.184
"BL",2015,"female","total_grooming","undirected",0,4.80740671595891e-17,0,0,"F",NA,NA,1960-07-02,1993-05-24,2016-06-04,54.9952087611225,0.784578880046575,"hi",0,178,0
"GG",2015,"female","total_grooming","undirected",0,4.80740671595891e-17,0,0,"F","GS","AJ?",2002-07-02,2005-01-19,NA,12.9965776865161,0.1875,"lo",0,128,0
"LN",2015,"female","total_grooming","undirected",0,4.80740671595891e-17,0,0,"F",NA,"Tyner (Ngogo)",1995-08-17,2008-08-13,NA,19.8713210130048,0.267009508983562,"lo",14,172,0.0813953488372093
"ML",2015,"female","total_grooming","undirected",0,0.5,1,0,"F",NA,NA,1996-01-18,2009-01-14,NA,19.4496919917864,0.526228485967123,"med",24,268,0.0895522388059701
"NP",2015,"female","total_grooming","undirected",7,1,3,0,"F","NL","LK",2000-02-09,2000-02-11,NA,15.3894592744695,0.0198793216027397,"lo",0,264,0
"OT",2015,"female","total_grooming","undirected",0,9.61481343191782e-17,1,0,"F","OU","ST",1998-02-13,1998-02-13,NA,17.3771389459274,0.41250715069589,"med",31,208,0.149038461538462
"OU",2015,"female","total_grooming","undirected",0,4.80740671595891e-17,1,0,"F",NA,NA,1979-12-14,1992-12-10,2017-07-21,35.5455167693361,1,"hi",10,223,0.0448430493273543
"PO",2015,"female","total_grooming","undirected",7,1,3,0,"F",NA,NA,1998-03-04,2011-03-01,NA,17.3251197809719,0.338816548780822,"med",3,219,0.0136986301369863
"QT",2015,"female","total_grooming","undirected",0,0.5,1,0,"F",NA,NA,1992-06-20,2005-06-17,NA,23.0280629705681,0.541010587553425,"med",0,218,0
"RD",2015,"female","total_grooming","undirected",0,0.5,1,0,"F",NA,NA,1995-10-16,2008-10-12,2017-01-13,19.7070499657769,0.0562998643863014,"lo",0,104,0
"TG",2015,"female","total_grooming","undirected",0,4.80740671595891e-17,0,0,"F",NA,NA,1980-05-17,1993-05-14,NA,35.1211498973306,0.928192960115068,"hi",16,223,0.0717488789237668
"UM",2015,"female","total_grooming","undirected",0,4.80740671595891e-17,0,0,"F",NA,NA,1982-12-31,1995-12-28,NA,32.498288843258,0.712771839775342,"hi",0,72,0
"WA",2015,"female","total_grooming","undirected",0,0.5,1,0,"F",NA,NA,1991-11-29,2004-11-25,NA,23.5865845311431,0.139241933964384,"lo",52,186,0.279569892473118
"WL",2015,"female","total_grooming","undirected",0,4.80740671595891e-17,0,0,"F",NA,NA,1992-10-27,2005-10-24,NA,22.6748802190281,0.856385919931507,"hi",0,194,0
"AL",2016,"female","total_grooming","undirected",0,0,0,0,"F",NA,NA,1981-04-24,1994-04-21,NA,35.1868583162218,0.702128870521858,"hi",0,175,0
"DL",2016,"female","total_grooming","undirected",0,0.635193027817828,2,1,"F",NA,NA,2003-01-07,2016-01-04,NA,13.4811772758385,0,"lo",45,90,0.5
"GG",2016,"female","total_grooming","undirected",0,0,1,0,"F","GS","AJ?",2002-07-02,2005-01-19,NA,13.9986310746064,0.108583788472678,"lo",0,80,0
"LN",2016,"female","total_grooming","undirected",0,0.635193027817828,2,1,"F",NA,"Tyner (Ngogo)",1995-08-17,2008-08-13,NA,20.8733744010951,0.295503187789617,"lo",10,72,0.138888888888889
"ML",2016,"female","total_grooming","undirected",0,0,1,0,"F",NA,NA,1996-01-18,2009-01-14,NA,20.4517453798768,0.566586976062841,"med",0,195,0
"NP",2016,"female","total_grooming","undirected",15.5,1,5,0.2,"F","NL","LK",2000-02-09,2000-02-11,NA,16.3915126625599,0.186919398743169,"lo",0,195,0
"OT",2016,"female","total_grooming","undirected",6,0.165627249159198,2,0,"F","OU","ST",1998-02-13,1998-02-13,NA,18.3791923340178,0.490960837898907,"med",0,98,0
"OU",2016,"female","total_grooming","undirected",0,0.0584207514917443,1,0,"F",NA,NA,1979-12-14,1992-12-10,2017-07-21,36.5475701574264,1,"hi",0,97,0
"PO",2016,"female","total_grooming","undirected",0,0.352724275675141,1,0,"F",NA,NA,1998-03-04,2011-03-01,NA,18.3271731690623,0.363274134696721,"med",12,124,0.0967741935483871
"QT",2016,"female","total_grooming","undirected",10,0.411145027166885,2,0,"F",NA,NA,1992-06-20,2005-06-17,NA,24.0301163586585,0.634357923579235,"med",0,150,0
"RD",2016,"female","total_grooming","undirected",0.5,0.800820276977026,3,0.666666666666667,"F",NA,NA,1995-10-16,2008-10-12,2017-01-13,20.7091033538672,0,"lo",2,76,0.0263157894736842
"TG",2016,"female","total_grooming","undirected",0,0,1,0,"F",NA,NA,1980-05-17,1993-05-14,NA,36.1232032854209,0.932229053057377,"hi",0,197,0
"UM",2016,"female","total_grooming","undirected",0,7.3622536165086e-18,1,0,"F",NA,NA,1982-12-31,1995-12-28,NA,33.5003422313484,0.769899818002732,"hi",0,129,0
"WA",2016,"female","total_grooming","undirected",0,0,0,0,"F",NA,NA,1991-11-29,2004-11-25,NA,24.5886379192334,0.111122495516393,"lo",0,77,0
"WL",2016,"female","total_grooming","undirected",0,0,0,0,"F",NA,NA,1992-10-27,2005-10-24,NA,23.6769336071184,0.864458105576503,"hi",0,131,0
"AL",2017,"female","total_grooming","undirected",0,0.438579968326961,3,1,"F",NA,NA,1981-04-24,1994-04-21,NA,36.186173853525,0.705410205994521,"hi",0,193,0
"DL",2017,"female","total_grooming","undirected",20.9166666666667,0.758916816908795,8,0.285714285714286,"F",NA,NA,2003-01-07,2016-01-04,NA,14.4804928131417,0.429670329848485,"med",140,259,0.540540540540541
"FS",2017,"female","total_grooming","undirected",0,0.0927338391835447,1,0,"F",NA,NA,2004-02-08,2017-02-04,NA,13.3935660506502,0.163945578246032,"lo",29,201,0.144278606965174
"GG",2017,"female","total_grooming","undirected",0,2.25814444621457e-18,0,0,"F","GS","AJ?",2002-07-02,2005-01-19,NA,14.9979466119097,0.00254403129589041,"lo",0,75,0
"JU",2017,"female","total_grooming","undirected",0,2.25814444621457e-18,0,0,"F",NA,NA,2003-10-16,2016-10-12,NA,13.7084188911704,0.454938271805556,"med",98,182,0.538461538461538
"LN",2017,"female","total_grooming","undirected",0,0.422374077324979,3,1,"F",NA,"Tyner (Ngogo)",1995-08-17,2008-08-13,NA,21.8726899383984,0.238515730873973,"lo",22,106,0.207547169811321
"ML",2017,"female","total_grooming","undirected",0.583333333333333,0.416014820854489,3,0.666666666666667,"F",NA,NA,1996-01-18,2009-01-14,NA,21.45106091718,0.583916904726027,"med",0,222,0
"NP",2017,"female","total_grooming","undirected",42.6666666666667,1,11,0.254545454545455,"F","NL","LK",2000-02-09,2000-02-11,NA,17.3908281998631,0.150021576641096,"lo",0,200,0
"OM",2017,"female","total_grooming","undirected",3.58333333333333,0.451781504434333,4,0.666666666666667,"F","OU","TU",2005-06-23,2005-06-30,NA,12.0219028062971,0.328813287326027,"med",6,172,0.0348837209302326
"OT",2017,"female","total_grooming","undirected",13.5833333333333,0.642382319762386,6,0.4,"F","OU","ST",1998-02-13,1998-02-13,NA,19.378507871321,0.547764564328767,"med",0,188,0
"OU",2017,"female","total_grooming","undirected",0,0.211868319309974,2,1,"F",NA,NA,1979-12-14,1992-12-10,2017-07-21,37.5468856947296,1,"hi",0,97,0
"PO",2017,"female","total_grooming","undirected",0,0.422374077324978,3,1,"F",NA,NA,1998-03-04,2011-03-01,NA,19.3264887063655,0.409891113369863,"med",58,192,0.302083333333333
"QT",2017,"female","total_grooming","undirected",0,0.340587708680739,2,1,"F",NA,NA,1992-06-20,2005-06-17,NA,25.0294318959617,0.724383561580822,"hi",13,238,0.0546218487394958
"TG",2017,"female","total_grooming","undirected",1.16666666666667,0.506067098211699,4,0.666666666666667,"F",NA,NA,1980-05-17,1993-05-14,NA,37.1225188227242,0.960138491852055,"hi",0,223,0
"UM",2017,"female","total_grooming","undirected",14.5,0.478910733062743,5,0.4,"F",NA,NA,1982-12-31,1995-12-28,NA,34.4996577686516,0.830743138219178,"hi",0,185,0
"WA",2017,"female","total_grooming","undirected",0,0.28636875438056,2,1,"F",NA,NA,1991-11-29,2004-11-25,NA,25.5879534565366,0.0847759544657534,"lo",0,196,0
"WL",2017,"female","total_grooming","undirected",0,0.146952793483723,1,0,"F",NA,NA,1992-10-27,2005-10-24,NA,24.6762491444216,0.876810677865753,"hi",3,227,0.013215859030837
"AJ",2010,"male","total_grooming","undirected",0.476190476190476,0.7785342250774,7,0.857142857142857,"M","LP",NA,1974-07-02,1983-07-02,2014-07-23,35.9972621492129,0.723051332009589,"hi",NA,NA,NA
"BB",2010,"male","total_grooming","undirected",3.81904761904762,1,10,0.711111111111111,"M",NA,NA,1966-07-02,1983-07-02,NA,43.9972621492129,0.817528225156164,"hi",NA,NA,NA
"ES",2010,"male","total_grooming","undirected",0.166666666666667,0.317893646636208,3,0.666666666666667,"M","EK","AJ",1994-07-02,1996-03-03,NA,15.9972621492129,0.350666867552055,"med",NA,NA,NA
"KK",2010,"male","total_grooming","undirected",0.985714285714286,0.964696584762783,9,0.833333333333333,"M","KL",NA,1985-07-15,1985-07-02,2013-05-24,24.9609856262834,1,"hi",NA,NA,NA
"LK",2010,"male","total_grooming","undirected",0.676190476190476,0.873314454888527,8,0.857142857142857,"M","LP",NA,1983-07-02,1983-07-02,NA,26.9979466119097,0.912625319830137,"hi",NA,NA,NA
"MS",2010,"male","total_grooming","undirected",0.985714285714286,0.964696584762783,9,0.833333333333333,"M","FG",NA,1975-07-02,1983-07-02,2010-10-29,34.9979466119097,0.828304528971514,"hi",NA,NA,NA
"PB",2010,"male","total_grooming","undirected",2.64285714285714,0.822860856603082,8,0.714285714285714,"M","PU",NA,1995-01-24,1995-02-24,NA,15.4332648870637,0.264272166346575,"lo",NA,NA,NA
"PG",2010,"male","total_grooming","undirected",0.142857142857143,0.798083181168177,7,0.952380952380952,"M","PU",NA,1988-11-11,1988-12-24,2013-05-24,21.6344969199179,0.625560740508219,"med",NA,NA,NA
"ST",2010,"male","total_grooming","undirected",0.676190476190476,0.878237112184063,8,0.857142857142857,"M",NA,NA,1955-07-02,1983-07-02,2013-06-01,54.9979466119097,0.470200210821918,"med",NA,NA,NA
"TU",2010,"male","total_grooming","undirected",1.97619047619048,0.721755253752492,7,0.714285714285714,"M",NA,NA,1960-07-02,1983-07-02,2014-02-05,49.9958932238193,0.59687942170137,"med",NA,NA,NA
"YB",2010,"male","total_grooming","undirected",0.452380952380952,0.884542653746897,8,0.892857142857143,"M",NA,NA,1973-07-02,1983-07-02,NA,36.9965776865161,0.449632696439726,"med",NA,NA,NA
"AJ",2011,"male","total_grooming","undirected",0.30952380952381,0.821471791458118,7,0.904761904761905,"M","LP",NA,1974-07-02,1983-07-02,2014-07-23,36.9965776865161,0.830528375750685,"hi",NA,NA,NA
"BB",2011,"male","total_grooming","undirected",0.642857142857143,0.916692089344768,8,0.857142857142857,"M",NA,NA,1966-07-02,1983-07-02,NA,44.9965776865161,0.813111546109589,"hi",NA,NA,NA
"ES",2011,"male","total_grooming","undirected",0.142857142857143,0.463086965998704,4,0.833333333333333,"M","EK","AJ",1994-07-02,1996-03-03,NA,16.9965776865161,0.61487279839452,"med",NA,NA,NA
"KK",2011,"male","total_grooming","undirected",1.83333333333333,0.880450284182486,8,0.75,"M","KL",NA,1985-07-15,1985-07-02,2013-05-24,25.9603011635866,1,"hi",NA,NA,NA
"LK",2011,"male","total_grooming","undirected",7.14285714285714,1,10,0.622222222222222,"M","LP",NA,1983-07-02,1983-07-02,NA,27.9972621492129,0.928571429,"hi",NA,NA,NA
"PB",2011,"male","total_grooming","undirected",0,0.241968732674099,2,1,"M","PU",NA,1995-01-24,1995-02-24,NA,16.4325804243669,0.285714286,"lo",NA,NA,NA
"PG",2011,"male","total_grooming","undirected",4.14285714285714,0.805873213315181,8,0.607142857142857,"M","PU",NA,1988-11-11,1988-12-24,2013-05-24,22.6338124572211,0.683365949019178,"hi",NA,NA,NA
"ST",2011,"male","total_grooming","undirected",0.30952380952381,0.821471791458118,7,0.904761904761905,"M",NA,NA,1955-07-02,1983-07-02,2013-06-01,55.9972621492129,0.497847358134247,"med",NA,NA,NA
"TJ",2011,"male","total_grooming","undirected",1.5,0.769810433900869,7,0.714285714285714,"M","TG","AJ",1995-08-13,1995-08-13,NA,15.8822724161533,0.357142857,"med",NA,NA,NA
"TU",2011,"male","total_grooming","undirected",0.333333333333333,0.82573289424912,7,0.904761904761905,"M",NA,NA,1960-07-02,1983-07-02,2014-02-05,50.9952087611225,0.596477494879452,"med",NA,NA,NA
"YB",2011,"male","total_grooming","undirected",0.642857142857143,0.916692089344768,8,0.857142857142857,"M",NA,NA,1973-07-02,1983-07-02,NA,37.9958932238193,0.466144814293151,"med",NA,NA,NA
"AJ",2012,"male","total_grooming","undirected",0.571428571428571,0.84326460541297,8,0.857142857142857,"M","LP",NA,1974-07-02,1983-07-02,2014-07-23,37.9986310746064,0.884400208125683,"hi",NA,NA,NA
"BB",2012,"male","total_grooming","undirected",0.696428571428571,0.94040685432085,9,0.861111111111111,"M",NA,NA,1966-07-02,1983-07-02,NA,45.9986310746064,0.787861046300547,"hi",NA,NA,NA
"ES",2012,"male","total_grooming","undirected",0,0.558238616898399,5,1,"M","EK","AJ",1994-07-02,1996-03-03,NA,17.9986310746064,0.717148061117486,"hi",NA,NA,NA
"KK",2012,"male","total_grooming","undirected",1.31071428571429,0.92059173935101,9,0.805555555555556,"M","KL",NA,1985-07-15,1985-07-02,2013-05-24,26.9623545516769,1,"hi",NA,NA,NA
"LK",2012,"male","total_grooming","undirected",1.39404761904762,0.919896775562357,9,0.805555555555556,"M","LP",NA,1983-07-02,1983-07-02,NA,28.9993155373032,0.903460838174863,"hi",NA,NA,NA
"PB",2012,"male","total_grooming","undirected",1.5547619047619,0.909979730969433,9,0.777777777777778,"M","PU",NA,1995-01-24,1995-02-24,NA,17.4346338124572,0.295784543532787,"lo",NA,NA,NA
