"chimp_id","year","network_sex","behavior","network_type","bt","ec","deg","trans","sex","mother_id","father_id","dobc","dfs","dls","age_mid_year","avg_rank","rank_class","days_cycling","days_obs","prop_cyc"
"OU",2013,"female","total_grooming","undirected",0,0,1.09649122807018,0,"F",NA,NA,1979-12-14,1992-12-10,2017-07-21,33.5468856947296,1,"hi",16,168,0.0952380952380952
"PO",2013,"female","total_grooming","undirected",8,1,8.44243774858009,0,"F",NA,NA,1998-03-04,2011-03-01,NA,15.3264887063655,0.292407044865753,"lo",119,189,0.62962962962963
"QT",2013,"female","total_grooming","undirected",0,0,0.121359223300971,0,"F",NA,NA,1992-06-20,2005-06-17,NA,21.0294318959617,0.516712328665753,"med",12,168,0.0714285714285714
"RD",2013,"female","total_grooming","undirected",0,0.401567392270704,2.20994475138122,0,"F",NA,NA,1995-10-16,2008-10-12,2017-01-13,17.7084188911704,0.0629745593150685,"lo",21,125,0.168
"TG",2013,"female","total_grooming","undirected",14,0,0.439817499903337,0,"F",NA,NA,1980-05-17,1993-05-14,NA,33.1225188227242,0.928610567936986,"hi",0,215,0
"UM",2013,"female","total_grooming","undirected",0,0,0.28169014084507,0,"F",NA,NA,1982-12-31,1995-12-28,NA,30.4996577686516,0.614716242580822,"med",0,65,0
"WA",2013,"female","total_grooming","undirected",0,0,0.28169014084507,0,"F",NA,NA,1991-11-29,2004-11-25,NA,21.5879534565366,0.0956164383890411,"lo",0,148,0
"WL",2013,"female","total_grooming","undirected",8,0,0.335951497979082,0,"F",NA,NA,1992-10-27,2005-10-24,NA,20.6762491444216,0.828884540142466,"hi",7,187,0.0374331550802139
"AL",2014,"female","total_grooming","undirected",0,0.0366484334227705,0,0,"F",NA,NA,1981-04-24,1994-04-21,NA,33.1854893908282,0.639409904860274,"med",0,127,0
"BL",2014,"female","total_grooming","undirected",0,0.0366484334227705,0,0,"F",NA,NA,1960-07-02,1993-05-24,2016-06-04,53.9958932238193,0.774604847145205,"hi",0,124,0
"LN",2014,"female","total_grooming","undirected",1,0.279597898105849,1.09331553775998,0,"F",NA,"Tyner (Ngogo)",1995-08-17,2008-08-13,NA,18.8720054757016,0.225395152854795,"lo",0,173,0
"ML",2014,"female","total_grooming","undirected",2,0.216128542123691,0.692186717020129,1,"F",NA,NA,1996-01-18,2009-01-14,NA,18.4503764544832,0.545626975356164,"med",0,176,0
"NP",2014,"female","total_grooming","undirected",5,1,3.36756036316004,0.0877217904118658,"F","NL","LK",2000-02-09,2000-02-11,NA,14.3901437371663,0,"lo",9,172,0.0523255813953488
"OT",2014,"female","total_grooming","undirected",0,0,1.26811594202899,0,"F","OU","ST",1998-02-13,1998-02-13,NA,16.3778234086242,0.3756585882,"med",0,133,0
"OU",2014,"female","total_grooming","undirected",0,0,1.26811594202899,0,"F",NA,NA,1979-12-14,1992-12-10,2017-07-21,34.5462012320329,1,"hi",0,136,0
"PO",2014,"female","total_grooming","undirected",2,0.511728613468818,1.2364538451495,0,"F",NA,NA,1998-03-04,2011-03-01,NA,16.3258042436687,0.300526870690411,"lo",15,107,0.14018691588785
"QT",2014,"female","total_grooming","undirected",0,0,0.512820512820513,0,"F",NA,NA,1992-06-20,2005-06-17,NA,22.0287474332649,0.477660695736986,"med",14,163,0.0858895705521472
"RD",2014,"female","total_grooming","undirected",0,0.74521959047438,1.51515151515152,0,"F",NA,NA,1995-10-16,2008-10-12,2017-01-13,18.7077344284736,0.075131717509589,"lo",17,66,0.257575757575758
"TG",2014,"female","total_grooming","undirected",0,0,0.512820512820513,0,"F",NA,NA,1980-05-17,1993-05-14,NA,34.1218343600274,0.924868282490411,"hi",1,189,0.00529100529100529
"UM",2014,"female","total_grooming","undirected",0,0.0366484334227705,0,0,"F",NA,NA,1982-12-31,1995-12-28,NA,31.4989733059548,0.688514225265753,"hi",6,64,0.09375
"WA",2014,"female","total_grooming","undirected",1,0.523447834875678,2.07305003268019,0.301489290052102,"F",NA,NA,1991-11-29,2004-11-25,NA,22.5872689938398,0.150263435345205,"lo",5,177,0.0282485875706215
"WL",2014,"female","total_grooming","undirected",0,0.0366484334227705,0,0,"F",NA,NA,1992-10-27,2005-10-24,NA,21.6755646817248,0.849736564654795,"hi",20,141,0.141843971631206
"AL",2015,"female","total_grooming","undirected",0,0.00381330001794137,0,0,"F",NA,NA,1981-04-24,1994-04-21,NA,34.1848049281314,0.640964799978082,"hi",46,250,0.184
"BL",2015,"female","total_grooming","undirected",0,0.00381330001794137,0,0,"F",NA,NA,1960-07-02,1993-05-24,2016-06-04,54.9952087611225,0.784578880046575,"hi",0,178,0
"GG",2015,"female","total_grooming","undirected",0,0.00381330001794137,0,0,"F","GS","AJ?",2002-07-02,2005-01-19,NA,12.9965776865161,0.1875,"lo",0,128,0
